attribution,person (total=334) [row%],event (total=29) [row%],organization (total=53) [row%],policy (total=5) [row%],unknown (total=900) [row%],row_total
Russia,258 (68.1%),0 (0.0%),9 (2.4%),1 (0.3%),111 (29.3%),379
Ukraine,20 (6.3%),11 (3.5%),20 (6.3%),3 (0.9%),262 (82.9%),316
mixed,33 (8.3%),13 (3.3%),11 (2.8%),1 (0.3%),339 (85.4%),397
other,23 (10.0%),5 (2.2%),13 (5.7%),0 (0.0%),188 (82.1%),229
