attribution,person (total=2790) [column%],event (total=70) [column%],organization (total=73) [column%],policy (total=5) [column%],unknown (total=1125) [column%],row_total
Russia,320 (11.5%),0 (0.0%),10 (13.7%),1 (20.0%),138 (12.3%),469
Ukraine,2057 (73.7%),25 (35.7%),33 (45.2%),3 (60.0%),319 (28.4%),2437
mixed,130 (4.7%),40 (57.1%),13 (17.8%),1 (20.0%),409 (36.4%),593
other,283 (10.1%),5 (7.1%),17 (23.3%),0 (0.0%),259 (23.0%),564
